Average_rating_F,Average_popularity_F,Average_dist_F,Average_rating_Y,Average_review_count_Y,Average_distance_Y,Number of Bikes
8.606000000000002,0.9384631084658914,689.06,4.67,50.32,768.1256480545376,12
,0.8043480458681805,893.3469387755102,4.24,17.66,604.6190334480906,8
8.46,0.9416467918388318,720.76,4.61,19.28,809.326028759252,7
,0.7725419084116552,696.04,3.46875,5.708333333333333,716.837298714675,8
,0.757222529766365,883.5357142857143,3.1538461538461537,7.0,807.769746594628,21
,0.7627905230187447,767.952380952381,3.7065217391304346,11.152173913043478,863.8331278456791,2
,0.5941263996231989,616.85,3.0,4.0,955.2425440010926,16
,0.8119741377464729,733.75,3.225806451612903,6.612903225806452,710.3433024370471,5
,0.962682553553692,609.4545454545455,4.01,8.5,821.7858716284333,11
,0.9129599101767204,773.4444444444445,3.5277777777777777,5.0,686.7829382706727,11
,0.9223799838717734,744.76,4.6,51.14,838.5231028672362,0
,0.9184800726687732,615.1224489795918,4.7,25.12,537.552859561364,17
,0.9245160461581282,676.14,4.7,25.74,706.6360983477229,13
8.732000000000001,0.9620197392365496,707.0,4.7,21.54,826.3026062362322,0
8.549999999999999,0.9487439251536106,650.08,4.64,58.02,700.2489342735712,5
,0.8488472819436873,647.1153846153846,3.4,5.84,724.2314771395168,10
,0.8291912413816115,745.6486486486486,3.91,7.4,851.069841633217,12
,0.7269092230309091,705.0869565217391,3.91,6.06,867.1113142869194,9
,0.7788727947369751,691.6486486486486,3.742857142857143,16.257142857142856,759.9244039136805,8
,0.8052371063392492,709.3,4.26,19.66,594.5275713784713,5
8.626,0.9451753052588008,679.02,4.66,49.94,757.0973293180116,3
8.807142857142859,0.9742356168740806,749.2142857142857,4.68,28.76,870.2840120252306,10
,0.8763332046012908,104117.63888888888,3.763157894736842,25.05263157894737,970.673930900242,1
,0.8839972310832317,717.86,4.59,17.18,756.1168023327581,1
8.770000000000001,0.9363286161838906,727.68,4.63,60.28,830.0082023805385,18
,0.9411726505241677,708.8,4.54,41.78,822.3218900617727,3
8.293333333333333,0.9717070942787612,684.2,4.48,51.04,735.5846297838807,11
8.928000000000003,0.9517059524574134,710.5,4.67,39.9,700.0125981916889,11
8.709999999999999,0.9748007164928958,512.1,4.6,21.18,611.9501590645641,7
8.920000000000005,0.9511730073433382,620.14,4.66,39.82,645.0244965776573,21
8.783999999999999,0.953227429403327,695.24,4.7,34.3,785.3621170005155,8
8.781999999999996,0.9477479714830116,736.02,4.67,17.72,857.6058268877982,1
,0.8365990002505451,759.1081081081081,3.5638297872340425,10.95744680851064,717.407068374527,7
8.8,0.9599008042704118,664.24,4.71,18.08,703.0174792433321,17
8.696,0.9745766340533945,656.04,4.62,24.18,833.7528826874068,9
,0.9434886924004654,772.86,4.69,24.24,741.7019962509288,20
,0.8465183964070687,779.8125,4.69,32.0,862.0821889035528,18
7.81,0.9605400814974984,679.96,4.45,54.56,776.4136538724578,9
