Station Name,Latitude,Longitude,Number of Bikes
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,12
Marché Maisonneuve,45.55321884238814,-73.53978216648102,8
Rachel / de Brébeuf,45.52689,-73.57264,7
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,8
Cité des Arts du Cirque (Paul Boutet / des Regrattiers),45.55984236120471,-73.61544728279114,21
Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185,2
Papineau / Émile-Journault,45.55988367688166,-73.63356828689575,16
CHSLD St-Michel (8e avenue / Jarry),45.5616903,-73.610512,5
Chabanel / du Parc,45.53830765459552,-73.6548838019371,11
Métro Henri-Bourassa (Henri-Bourassa / Millen),45.55675103297278,-73.66716161370277,11
Calixa-Lavallée / Rachel,45.527831544563064,-73.5719096660614,0
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,17
Fabrik8 (Waverly / Jean-Talon),45.53330725719417,-73.62082242965698,13
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.51689731423111,-73.58910799026489,0
St-Hubert / de Maisonneuve (sud),45.51586835126322,-73.56008380651474,5
CHSLD Joseph-François-Perrault (St-Michel / Everett),45.55969734528566,-73.60145956277847,10
Parc Nicolas-Tillemont (des Érables / Villeray),45.55463653358596,-73.61255215771962,12
Collège de Rosemont (Beaubien / 15e avenue),45.55774990838239,-73.58380123972893,9
Préfontaine / Marcel-Pépin,45.54365380040509,-73.55942063033581,8
de Chambly / de Rouen,45.54710313981358,-73.54892447590828,5
BAnQ (Berri),45.51601387670667,-73.56291957199574,3
de Gaspé / Marmier,45.529668174024685,-73.60166944563389,10
La Tour de Montréal (Pierre-de-Coubertin / Bennett),45.55970526805903,-73.55155438184738,1
Messier / St-Joseph,45.53946063965585,-73.57605636119843,1
Square Viger (Berri / Viger),45.5121682576952,-73.55481594800949,18
Dorion / Ontario,45.526991277453526,-73.55821162462234,3
René-Lévesque / Papineau,45.52097057660443,-73.5499919950962,11
Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,11
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,7
Métro Place-d'Armes (Viger / St-Urbain),45.50631445605528,-73.55967122894072,21
Jeanne-Mance / Sherbrooke,45.50928678961862,-73.57101917266846,8
Métro Laurier (Berri / St-Joseph),45.52723106564012,-73.58672618865965,1
Métro Frontenac (Ontario / du Havre),45.533705987798946,-73.55217933654784,7
du Mont-Royal / Clark,45.51941,-73.58685,17
Place du Canada (Peel / des Canadiens-de-Montréal),45.49788352593901,-73.56856763362885,9
Gary-Carter / St-Laurent,45.53613488953656,-73.62258464097977,20
Métro Parc  (Hutchison / Ogilvy),45.53035130173597,-73.6243924498558,18
René-Lévesque / Panet,45.51862424058306,-73.55219006538391,9
6e avenue / Villeray,45.55873962047568,-73.60589044634253,8
des Bassins / du Séminaire,45.49047561880464,-73.56022328138351,9
St-Jacques / Vinet,45.485328993998365,-73.57692271471024,7
Métro Lionel-Groulx (St-Jacques / Atwater),45.48295816149219,-73.57975836854166,9
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),45.554373399819674,-73.55137467384337,22
du Parc-Lafontaine / Rachel,45.52551168509886,-73.57424452900887,0
Ste-Catherine / St-Clément,45.55671730558936,-73.53024959564209,9
de l'Hôtel-de-Ville / Rachel,45.51989655507833,-73.58010649681091,3
Workman / Vinet,45.483788863965174,-73.5750612616539,9
Métro Acadie (de l'Acadie / Beaumont),45.52357479400008,-73.62344294786453,9
